gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,13.4000,157.0400,383.3500,9306.5800,9662.7700,9025.4100,28FEB1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.4000,160.8000,394.2400,9786.1600,10158.5700,9163.4100,31MAR1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5300,160.8000,394.2400,10789.0400,11072.2500,9707.9100,30APR1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5300,160.8000,394.2400,10559.7400,11244.3600,10372.9600,31MAY1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.5300,174.3600,419.9900,10970.8000,11120.2400,10334.4200,30JUN1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7660,174.3600,419.9900,10655.1500,11321.6100,10594.9900,31JUL1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7670,174.3600,419.9900,10829.2800,11428.9400,10487.3200,31AUG1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,14.7670,177.2000,483.5400,10336.9500,11218.3900,10055.1700,30SEP1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.4760,177.2000,483.5400,10729.8600,10883.1000,9884.2000,31OCT1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.4770,177.2000,483.5400,10877.8100,11195.3400,10449.4200,30NOV1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1638.1000,,13.4770,161.7200,477.2200,11497.1200,11658.6800,10798.0700,31DEC1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.0233,161.7200,477.2200,10940.5300,11908.5000,10610.4300,31JAN2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.0233,161.7200,477.2200,10128.3100,11228.4400,9760.3600,29FEB2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.0234,156.2800,499.0600,10921.9200,11311.2800,9611.7500,31MAR2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.9333,156.2800,499.0600,10733.9100,11600.1200,10129.2400,30APR2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,13.9333,156.2800,499.0600,10522.3300,11086.7200,10162.6000,31MAY2000,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
